127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/db.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/URI.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/html5shiv.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/materialPreloader.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/queryloader2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/moment.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/bootstrap-datetimepicker.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/bootstrap-notify.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET / HTTP/1.1" 200 5172
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/css/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/css/simplex/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/css/materialPreloader.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/css/thaisans-neue.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/db.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/URI.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/html5shiv.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Nov/2015:23:04:27 +0700] "GET /public/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
